Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dss448s-ur,DSS448S-UR 4U 48 BAYS SAS DUAL 2ND GEN AMD EPYC,"<h2>Key Features:</h2>
<ul>
<li>HA Redundant Storage server support two hot-swap MB modules, each with single 2nd Gen AMD EPYC up to 64 cores Single/Multi NUMA domain</li>
<li>4U with 48x 3.5” 12Gb/s dual-ported SAS hot-swap HDD bays</li>
<li>Supports PCIe GEN 4; up to 2TB DDR4 RAM</li>
<li>Support two hot-swap motherboard nodes; each with AMD ROME UP server boards in one system as unified redundant controllers</li>
<li>HA Redundant Cluster-in-a-Box solution with PCIe NTB and GbE heartbeat</li>
</ul>",EchoStreams,,DuraStreams Products: AMD EPYC Processor,2nd-Gen-AMD-EPYC,true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0000_front-angle_64a471e5-0f13-4461-a905-44f62dbd69fd.png?v=1564510657,1,"",false,,,,lb,,,active
dss448s-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0001_rear_05177fb1-f0d9-448a-8025-b105a3e791ab.png?v=1564510657,2,"",,,,,,,,
dss448s-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0002_front_78e44feb-092f-4806-a921-970a5986c7c1.png?v=1564510657,3,"",,,,,,,,
flachesan1n10u-d5,FlacheSAN1N10U-D5 1U 10 Bays Intel Skylake U.2 NVMe 850W HRP PSU,"<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<span class=""vc_empty_space_inner""></span>
<ul>
<li>NVMe Flash server supports dual Intel Xeon SP CPU up to 2TB DDR4</li>
<li>1U with 10x hot-swappable 2.5” NVMe U.2 SSD bays</li>
<li>Supports 1x PCIe3 x16 expansion slots</li>
<li>Balance architecture between network and storage for optimal performance</li>
<li>80 Plus Platinum 500W Redundant PSU</li>
</ul>
</div>",EchoStreams,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"10-20 bays, 1U, EPYC, server",true,Title,Default Title,,,,,,,,BB110NUD5TY1,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFrontAngle_5ec60ae0-3247-4dc4-8799-470b1a5cc0df.png?v=1560378940,1,"",false,,,,lb,,,active
flachesan1n10u-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFront1_9984c951-42be-47a1-a846-06f300ca2c67.png?v=1560378940,2,"",,,,,,,,
flachesan2n108m-un,FlacheSAN2N108M-UN  2U with 108x hot-swappable Intel® EDSFF (E1.L) NVMe SSD bays,"<ul>
<li>Storage server supports Single Socket AMD EPYC CPU;up to 2TB DDR4</li>
<li>2U with 108x hot-swappable Intel® EDSFF (E1.L) NVMe SSD bays</li>
<li>Supports 2x PCIe3 x16 slots and 1x PCIe3 x16 OCP 2.0 card</li>
<li>Capable of sustaining up to 300Gbps of bandwidth and 7.8M IOPS</li>
</ul>",echostreams,,FlacheStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0000_front-angle_e70f4f12-3d18-4730-a8e8-48a8b1687ead.png?v=1558032773,1,"",false,,,,lb,,,active
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0001_front_83522a6a-b198-4a1e-b602-ab1e63164176.png?v=1558032774,2,"",,,,,,,,
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0002_front-top_710cac65-e985-4174-8050-34d6be5c300d.png?v=1558032776,3,"",,,,,,,,
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0003_angle-front_39f9fbde-f03a-4637-9096-4f4216e24cdc.png?v=1558032777,4,"",,,,,,,,
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0004_back-angle_b71668b0-4918-4e59-9ef2-160f133b859f.png?v=1558032779,5,"",,,,,,,,
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0005_back_801a3c4e-8466-447e-9bf4-9314b6473b3c.png?v=1558032781,6,"",,,,,,,,
flachesan2n108m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0006_front-angle-top_6bd31c31-b0dd-42dc-9e52-d70073e2f1e5.png?v=1558032782,7,"",,,,,,,,
flachesan2n108m-d5,FlacheSAN2N108M-D5 2U with 108x hot-swappable Intel® EDSFF (E1.L) NVMe SSD bays,"<ul>
<li>Storage server supports Intel® Dual Processor Xeon Scalable; up to 2TB DDR4</li>
<li>2U with 108x hot-swappable Intel® EDSFF (E1.L) NVMe SSD bays</li>
<li>Supports 2x PCIe3 x16 slots and 1x PCIe3 x16 OCP 2.0 card</li>
<li>Capable of sustaining up to 300Gbps of bandwidth and 7.8M IOPS</li>
</ul>",echostreams,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0006_front-angle-top.png?v=1558032567,1,"",false,,,,lb,,,active
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0000_front-angle.png?v=1558032568,2,"",,,,,,,,
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0001_front.png?v=1558032570,3,"",,,,,,,,
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0002_front-top.png?v=1558032572,4,"",,,,,,,,
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0003_angle-front.png?v=1558032573,5,"",,,,,,,,
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0004_back-angle.png?v=1558032575,6,"",,,,,,,,
flachesan2n108m-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheStream2U108-1024px_0005_back.png?v=1558032577,7,"",,,,,,,,
dss448s-d5,DSS448S-D5 4U 48 BAYS SAS DUAL INTEL XEON,"<h2>Key Features:</h2>
<ul>
<li>HA Redundant Storage server support Dual Intel® Xeon® SP Skylake / Cascade Lake up to 1TB DDR4</li>
<li>4U with 48x 3.5” 12Gb/s dual-ported SAS hot-swap HDD bays</li>
<li>Four 60mm fan modules for each motherboard node</li>
<li>Support two hot-swap motherboard nodes; each with Xeon DP server boards in one system as unified redundant controllers</li>
<li>HA Redundant Cluster-in-a-Box solution with PCIe NTB and GbE heartbeat</li>
</ul>",EchoStreams,,DuraStreams Products: Intel® Xeon® Scalable Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0000_front-angle.png?v=1554510782,1,"",false,,,,lb,,,active
dss448s-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0001_rear.png?v=1554510785,2,"",,,,,,,,
dss448s-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/DSS448S-D5_0002_front.png?v=1554510788,3,"",,,,,,,,
dss224n-un-2u-24-bays-nvme-redundant-node-single-epyc-1200w-hrp,DSS224N-UN 2U 24 BAYS NVMe REDUNDANT NODE SINGLE EPYC 1200W HRP,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports single AMD EPYC™ up to 1TB DDR4</li>
<li>2U Redundant High Availability dual systems (nodes)</li>
<li>Support high density 24 hot-swappable 2.5”-15mm NVMe U.2 SSD bays</li>
<li>Support redundancy heartbeat through optional GbE and PCIe x 16 NTB</li>
</ul>",EchoStreams,,DuraStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/0002_Layer-19.png?v=1554510661,1,"",false,,,,lb,,,active
dss224n-un-2u-24-bays-nvme-redundant-node-single-epyc-1200w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/0000_Layer-21.png?v=1554510665,2,"",,,,,,,,
dss224n-un-2u-24-bays-nvme-redundant-node-single-epyc-1200w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/0001_Layer-20.png?v=1554510667,3,"",,,,,,,,
flachesan4n24m-un,FLACHESAN4N24M-UN EPYC UP Server 24bay,"<h2>Key Features</h2>
<ul>
<li>Storage server supports Single Socket AMD EPYC CPU up to 2TB DDR4</li>
<li>Portable tower with 24x M.2 or NF1 Drives (Rack-mount option available)</li>
<li>Supports 6x full height PCIe3 slots + 1x PCIe3 OCP</li>
<li>Ability to power on/off M.2/NF1 drives individually</li>
</ul>",EchoStreams,,FlacheStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN4N24M-UN-front_0001_Layer-1.png?v=1553621988,1,"",false,,,,lb,,,active
flachesan4n24m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN4N24M-UN-front_0000_FlacheSAN4N24M-UN-rear.png?v=1553621989,2,"",,,,,,,,
flachesan1n36m-un,FlacheSAN1N36M-UN AMD EPYC 36 bay NF1 NVMe 850W HRP PSU,"<h2>Key Features:</h2>
<ul>
<li>Storage server supports Single Socket AMD EPYC CPU up to 2TB DDR4</li>
<li>1U with 36x hot-swappable NF1 or M.2 NVMe SSD bays</li>
<li>Supports 2x PCIe3 x16 slots and 1x PCIe3 x16 OCP 2.0 card</li>
<li>Capable of sustaining up to 300Gbps of bandwidth and 7.8M IOPS</li>
</ul>",EchoStreams,,FlacheStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0002_front.png?v=1552519244,1,"",false,,,,lb,,,active
flachesan1n36m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0000_rear.png?v=1552519246,2,"",,,,,,,,
flachesan1n36m-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0001_angle.png?v=1552519247,3,"",,,,,,,,
gridstreams-gs206g-un-2u-amd-epyc-server-with-6-gpus-and-6-nvme-2200w-hrp,GridStreams-GS206G-UN 2U AMD EPYC Server with 6 GPUs and 6 NVMe 2200W HRP,"Key Features:
<ul>
<li>GPU server supports Single Socket AMD EPYC CPU up to 2TB DDR4</li>
<li>2U with 6 x GPU double-width cards</li>
<li>Support 6x NVMe SSD for storage</li>
<li>Supports 1x PCIe3 x16 slot for network card</li>
</ul>",EchoStreams,,GridStreams,"",true,Title,Default Title,,,,,,,,"",0.0,,-2,deny,manual,0.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/GridStreams_GS206G-UN_Front.png?v=1548201460,1,"",false,,,,lb,,,active
gridstreams-gs206g-un-2u-amd-epyc-server-with-6-gpus-and-6-nvme-2200w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/GridStreams_GS206G-UN_Front45.png?v=1548201462,2,"",,,,,,,,
gridstreams-gs206g-un-2u-amd-epyc-server-with-6-gpus-and-6-nvme-2200w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/GridStreams_GS206G-UN_Rear2.png?v=1548201464,3,"",,,,,,,,
oss424-d5-4u-24-bays,"OSS424-D5 4U 24 BAYS 3.5"" HDD 12G SAS DUAL XEON SP 800W HRP","<p><strong>Key Features</strong></p>
<ul>
<li>Versatile 4U Storage chassis with optical cooling for high end server</li>
<li>24 tray-less hot Swap 3.5″ HDD 6G/12G SAS or SATA drive bays</li>
<li>Optional 2, 4, 8, 10 hot-swap 2.5″ 7mm drive bays rear accessible</li>
<li>High efficiency Platinum redundant PSU 800W or 1200W with DC 48V option</li>
<li>Supports up to SSI EEB/TEB extended ATX motherboard</li>
</ul>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"21-40 bays, 4U, intel xeon, omnistreams, server",true,Title,Default Title,,,,,,,,BB42433D5TY16-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS424_750x750_3_grande_grande_6e58e81e-e433-4bf6-b1ae-c062a83e0f9a.png?v=1541121304,1,"",false,,,,lb,,,active
oss424-d5-4u-24-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS424_750x750_2.png?v=1541121304,2,"",,,,,,,,
oss424-d5-4u-24-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_OSS424-D4-Rear-8SSD.png?v=1541121316,3,"",,,,,,,,
oss316-d5-3u-16-bays,"OSS316-D5 3U 16 BAYS 3.5"" HDD 12G SAS DUAL XEON SP 800W HRP","<div class=""vc_empty_space"">
<strong>Key Features</strong><br><span class=""vc_empty_space_inner""></span>
</div>
<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<ul>
<li>Versatile 3U Storage chassis with optimal cooling for high end server</li>
<li>16x Hot Swap Tray-less 3.5″ HDD 12G SAS or SATA drive bays</li>
<li>Optional 2,4, or 6 rear hot -swap 2.5″ SSD 7mm drive bays</li>
<li>High efficiency Platinum redundant PSU 800W or 1200W</li>
<li>Supports Intel Xeon ATX, SSI CEB, or 13″ EEB motherboards</li>
</ul>
</div>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"10-20 bays, 3U, intel xeon, omnistreams, server",true,Title,Default Title,,,,,,,,BB31633D5TY16-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS316FrontAngle.png?v=1541121294,1,"",false,,,,lb,,,active
