Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
oss316-d5-3u-16-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS316Front.png?v=1541121294,2,"",,,,,,,,
oss316-d5-3u-16-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS316Rear.png?v=1541121294,3,"",,,,,,,,
oss224-d5-2u-24-bays,"OSS224-D5 2U 24 BAYS 2.5"" 12G SAS DUAL XEON SP 800W HRP","<div id=""text-block-2"" class=""mk-text-block  mk-animate-element right-to-left    mk-in-viewport"">
<div class=""clearboth""><strong>Key Features</strong></div>
</div>
<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<ul>
<li>2U 26 inch in depth storage appliance server chassis</li>
<li>24 Tool-less Hot Swap 2.5″ 12G SAS/SATA drive bays &amp; two 2.5″ internal bays</li>
<li>Supports Intel® Xeon SP ATX, 10.5″ SSI CEB or 13″ EEB motherboards</li>
<li>7 low profile PCIe slots</li>
<li>High efficiency platinum 800/1200W redundant power supply</li>
</ul>
</div>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"21-40 bays, 2U, intel xeon, omnistreams, server",true,Title,Default Title,,,,,,,,BB22432D5TY16-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS224FrontAngle.png?v=1541121289,1,"",false,,,,lb,,,active
oss224-d5-2u-24-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS224-D4Front.png?v=1541121289,2,"",,,,,,,,
oss224-d5-2u-24-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_Rear-copy.png?v=1541121289,3,"",,,,,,,,
oss212l-d5-2u-12-bays,"OSS212L-D5 2U 12 BAYS 3.5"" HDD 12G SAS DUAL XEON SP LOW PROFILE SLOTS 800W HRP","<div class=""vc_empty_space""><span class=""vc_empty_space_inner""></span></div>
<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<p><strong>Key Features</strong></p>
<ul>
<li>2U 26″ in-depth storage appliance server chassis</li>
<li>12 Tray-less Hot Swap 3.5″ 12G SAS/SATA drive bays &amp; two 2.5″ internal bay</li>
<li>Supports single or dual Intel Xeon ATX, 10.5″ SSI CEB or 13″ EEB motherboards</li>
<li>7 low profile expansion slots</li>
<li>High efficiency platinum 550/800/1200W redundant power</li>
</ul>
</div>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"10-20 bays, 2U, intel xeon, omnistreams, server",true,Title,Default Title,,,,,,,,BB21233D5TY16-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS212FrontAngle.png?v=1541121283,1,"",false,,,,lb,,,active
oss212l-d5-2u-12-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS212Front.png?v=1541121283,2,"",,,,,,,,
oss212l-d5-2u-12-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Rear-copy_b05e295d-2015-4692-b7db-1a23a28b62c1.png?v=1541121283,3,"",,,,,,,,
oss212f-d5-2u-12-bays,"OSS212F-D5 2U 12 BAYS 3.5"" HDD 12G SAS DUAL XEON SP FULL HEIGHT SLOTS 800W HRP","<div id=""text-block-2"" class=""mk-text-block  mk-animate-element right-to-left    mk-in-viewport"">
<div class=""clearboth""><strong>Key Features</strong></div>
</div>
<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<ul>
<li>2U 26″ in-depth storage appliance server chassis</li>
<li>12 Tray-less Hot Swap 3.5″ 12G SAS/SATA drive bays &amp; two 2.5″ internal bay</li>
<li>Supports Intel® Xeon ATX, 10.5″ SSI CEB or 13″ EEB motherboards</li>
<li>3 full height PCIe riser card expansion slots</li>
<li>High efficiency platinum 550/800/1200W redundant power</li>
</ul>
</div>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"10-20 bays, 2U, intel xeon, JBOD, omnistreams",true,Title,Default Title,,,,,,,,BB21233D5TY26-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS212FrontAngle_d570b117-dc1d-43e5-9b98-1670cbcea538.png?v=1541121268,1,"",false,,,,lb,,,active
oss212f-d5-2u-12-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/OSS212Front_bd7c14b6-6a4c-4395-8bbc-4f28a27464f8.png?v=1541121268,2,"",,,,,,,,
oss212f-d5-2u-12-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Rear-copy_3f508571-7638-447e-a8ff-d69cc0c99f88.png?v=1541121273,3,"",,,,,,,,
oss1a4-d5-1u-4-bays,OSS1A4-D5 1U 4 BAYS 7MM SSD 12G SAS/SATA DUAL XEON SP 500W HRP,"<p><strong>Key Features</strong></p>
<ul>
<li>1U 21″ short-depth design with optimized cooling</li>
<li>Capable of supporting up to two Intel Xeon SP (Skylake) up to 205W</li>
<li>Supports Intel Xeon ATX, 10.5″ SSI CEB or 13″ EEB motherboards</li>
<li>Low acoustic noise and induced vibrations for greater reliability</li>
<li>Customizable extruded aluminum front bezel</li>
</ul>",Premio Inc,,OmniStreams Products: Intel® Xeon® Scalable Processor,"1U, <10 bays, intel xeon, omnistreams, server",true,Title,Default Title,,,,,,,,BB1042FD5TY14-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FR1-copy_grande_9e85c8f8-8536-42e8-8e31-508f420aaae4.png?v=1541121256,1,"",false,,,,lb,,,active
oss1a4-d5-1u-4-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FR2-copy.png?v=1541121256,2,"",,,,,,,,
oss1a4-d5-1u-4-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_Rear.png?v=1541121256,3,"",,,,,,,,
flachesan2v-un-2u-48-bays,FlacheSAN2V-UN 2U 48 BAYS 7MM 12G SAS/SATA SSD SINGLE EPYC 800W HRP,"<div class=""vc_empty_space""><span class=""vc_empty_space_inner""></span></div>
<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<p><strong>Key Features</strong></p>
<ul>
<li>Flash server supports Single AMD EPYC up to 1TB DDR4</li>
<li>Front hot-swap 48x 2.5” 7mm and 2 internal 2.5” 15mm for OS drives</li>
<li>Up to 18GB/s (128Gbps) seq. read and up to 1.4M IOPS 4KB random read</li>
<li>Supports up to 7x Low Profile MD2 PCIe Expansion slots</li>
<li>High efficiency redundant power supplies</li>
</ul>
</div>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"2U, >40 bays, EPYC, server",true,Title,Default Title,,,,,,,,BB2482FUNGB16-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Angle_720x_0f800dd2-734c-4d08-be13-4c49845f6d27.png?v=1548813656,1,"",false,,,,lb,,,active
flachesan2v-un-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Top-Angle_81767491-87dc-4ed6-a773-83fdee4fb9f0.png?v=1548813656,2,"",,,,,,,,
flachesan2v-un-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-UN.png?v=1548813656,3,"",,,,,,,,
flachesan2v-u5-2u-48-bays,FlacheSAN2V-U5 2U 48 BAYS 7MM 12G SAS/SATA SSD SINGLE XEON SP LOW PROFILE,"<p><strong>Key Features</strong></p>
<ul>
<li>Flash server supports Single Intel® Xeon® SP Skylake up to 1TB DDR4</li>
<li>Front hot-swap 48x 2.5” 7mm and 2 internal 2.5” 15mm for OS drives</li>
<li>Up to 18GB/s (128Gbps) seq. read and up to 1.4M IOPS 4KB random read</li>
<li>Supports up to 7x Low Profile MD2 PCIe Expansion slots</li>
<li>High efficiency redundant power supplies</li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB2482FU5SM16-A,24947.58035,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Top-Angle_1944x_720x_d7ddcfb0-5da0-4bd3-ab6f-70c6fb2c140f.png?v=1548813273,1,"",false,,,,lb,,,active
flachesan2v-u5-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Angle_2048x_c2a4e799-c182-4f76-ba9c-ce5f60bcf049.png?v=1548813273,2,"",,,,,,,,
flachesan2v-u5-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_FlacheSAN2V-D4-Rear_1944x_0369d7d5-273f-4298-ac01-a0737983bcaf.png?v=1548813273,3,"",,,,,,,,
flachesan2v-d5-2u-48-bays,FlacheSAN2V-D5 2U 48 BAYS 7MM 12G SAS/SATA SSD DUAL XEON SP LOW PROFILE,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Dual Intel® Xeon® SP Skylake up to 1.5TB DDR4</li>
<li>Front hot-swap 48x 2.5” 7mm and 2 internal 2.5” 15mm for OS drives</li>
<li>Up to 18GB/s (128Gbps) seq. read and up to 1.4M IOPS 4KB random read</li>
<li>Supports up to 7x Low Profile MD2 PCIe Expansion slots</li>
<li>High efficiency redundant power supplies</li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB2482FD5TY16-A,24947.58035,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Angle_2048x_720x_079e0f97-c9ef-4515-b36b-18c8375c2eaa.png?v=1548812908,1,"",false,,,,lb,,,active
flachesan2v-d5-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2V-D4-Front-Top-Angle_1944x_a267e976-04fa-4c09-8075-b8076c8f2539.png?v=1548812908,2,"",,,,,,,,
flachesan2v-d5-2u-48-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_FlacheSAN2V-D4-Rear_1944x_f8dfa4a6-8015-48b6-ad27-a2f7d9bd9169.png?v=1548812908,3,"",,,,,,,,
flachesan2n24u-d5,FlacheSAN2N24U-D5 2U 24 NVMe U.2 PCIE x4 DUAL XEON SP,"<p><strong>Key Features</strong></p>
<ul>
<li>All NVMe Flash Array supports Dual Intel® Xeon® SP Scalable Processors (Skylake)</li>
<li>Support 24 x front accessable hot-swap NVMe PCIe3 x4 2.5” drives</li>
<li>Up to 60GB/s (480 Gigabits/s) throughput and 12 Millions IOPS through RDMA</li>
<li>Support 4x full height PCIe3 x16 PCIe slots (Optional 6x PCIe3 x16 slots)</li>
<li>Symmetrically balanced design, each CPU managing half NVMe and NIC</li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB224NUD5TY18-A,27669.13457,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N24U-D5FrontAngle.png?v=1564781773,1,"",false,,,,lb,,,active
flachesan2n24u-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N12C-D5Rear-1.png?v=1564774767,2,"",,,,,,,,
flachesan2n24u-d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N24U-D5Front.png?v=1564774767,3,"",,,,,,,,
flachesan2n12c-d5-2u-12-nvme-add-in-card-pcie-x8-dual-xeon-sp,FlacheSAN2N12C-D5 2U 12 NVMe Add-In-Card PCIE x8 Dual Xeon SP,"<p><strong>Key Features</strong></p>
<ul>
<li>All NVMe Flash Array supports Dual Intel® Xeon® SP Scalable Processors (Skylake)</li>
<li>Support 12 x front accessible hot-swap NVMe PCIe3 x8 Add-in-Cards</li>
<li>Up to 60GB/s (480 Gigabits/s) throughput and 12 Millions IOPS through RDMA</li>
<li>Support 4x full height PCIe3 x16 and 2x Low Profile PCIe3 x16 slots</li>
<li>Symmetrically balanced design, each CPU managing half NVMe and NIC</li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB212NCD5TY18-A,27669.13457,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N12C-D5FrontAngle.png?v=1541121069,1,"",false,,,,lb,,,active
flachesan2n12c-d5-2u-12-nvme-add-in-card-pcie-x8-dual-xeon-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N12C-D5FrontRightAngleOpen.png?v=1541121069,2,"",,,,,,,,
flachesan2n12c-d5-2u-12-nvme-add-in-card-pcie-x8-dual-xeon-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/LowProfileNVMeTray-Liqid.png?v=1541121069,3,"",,,,,,,,
flachesan2n12c-d5-2u-12-nvme-add-in-card-pcie-x8-dual-xeon-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2-D4-Rear_03f08458-2b0a-4c61-a4a6-0d4791468ced.png?v=1541121069,4,"",,,,,,,,
flachesan2-d5-2u-48-bays-7mm-12g-sas-sata-ssd-dual-xeon-sp-full-height,FlacheSAN2-D5 2U 48 BAYS 7MM 12G SAS/SATA SSD DUAL XEON SP FULL HEIGHT,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Dual Intel® Xeon® SP Skylake up to 2TB DDR4</li>
<li>Front hot-swap 48x 2.5” 7mm and 4 rear 2.5” 7mm total 52 bay</li>
<li>Up to 21GB/s (168Gbps) sustain read throughput and up to 2M IOPS</li>
<li>Supports up to 6x Full Height PCIe Expansion slots; 4 of them are Full Length</li>
<li>High efficiency platinum redundant power supplies</li>
</ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB2482FD5IT16-A,24947.58035,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/flachesan2-D4FrontAngle.png?v=1541121062,1,"",false,,,,lb,,,active
flachesan2-d5-2u-48-bays-7mm-12g-sas-sata-ssd-dual-xeon-sp-full-height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2-D4-Front-Top-Angle.png?v=1541121062,2,"",,,,,,,,
flachesan2-d5-2u-48-bays-7mm-12g-sas-sata-ssd-dual-xeon-sp-full-height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2-D4-Rear.png?v=1541121062,3,"",,,,,,,,
flachesan1n20u-un-1u-20-bays-nvme-u-2-7mm-single-epyc-500w-hrp,FlacheSAN1N20U-UN 1U 20 BAYS NVMe U.2 7MM SINGLE EPYC 500W HRP,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Single Socket AMD EPYC CPU up to 2TB DDR4</li>
<li>1U with 20x hot-swappable 2.5”-7mm NVMe U.2 SSD bays</li>
<li>Supports 3x PCIe3 x16 slots</li>
<li>Capable of sustaining up to 250Gbps of bandwidth and 7.8 IOPS</li>
<li>80 Plus Platinum 500W Redundant PSU</li>
</ul>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"10-20 bays, 1U, EPYC, server",true,Title,Default Title,,,,,,,,BB120NFUNTY14-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-D4-FrontAngleS_720x_caf6baf6-d3d2-40a8-986b-d607a6901451.png?v=1548813775,1,"",false,,,,lb,,,active
flachesan1n20u-un-1u-20-bays-nvme-u-2-7mm-single-epyc-500w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-D4-FrontNoAngle_a5a61d2d-d7ba-49bc-a80c-fc3d4ac55897.png?v=1548813775,2,"",,,,,,,,
flachesan1n20u-un-1u-20-bays-nvme-u-2-7mm-single-epyc-500w-hrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-UN.png?v=1548813775,3,"",,,,,,,,
flachesan1n10u-un,FlacheSAN1N10U-UN 1U 10 BAYS NVMe U.2 PCIE X4 SINGLE EPYC 500W HRP,"<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<span class=""vc_empty_space_inner""></span>
<ul>
<li>Storage server supports Single Socket AMD EPYC CPU up to 2TB DDR4</li>
<li>1U with 10x hot-swappable 2.5” NVMe U.2 SSD bays</li>
<li>Supports 3x PCIe3 x16 slots</li>
<li>Capable of sustaining up to 250Gbps of bandwidth and 7.8 IOPS</li>
<li>80 Plus Platinum 500W Redundant PSU</li>
</ul>
</div>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"10-20 bays, 1U, EPYC, server",true,Title,Default Title,,,,,,,,BB110NUUNTY14-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFrontAngle.png?v=1541121049,1,"",false,,,,lb,,,active
flachesan1n10u-un,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFront1.png?v=1541121050,2,"",,,,,,,,
flachesan1l-un-1u-20-bays,FlacheSAN1L-UN 1U 20 Bays 7MM 12G SAS /SATA SSD Single EPYC,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Single Socket Intel® Xeon® SP Skylake up to 768GB DDR4</li>
<li>2U with 20x hot-swappable 2.5”- 7mm SATA SSD or HDD bays</li>
<li>Support 3x PCIe slots (2x Full Height)</li>
<li>Low acoustic noise and induced vibrations for greater reliability</li>
<li>Capable of sustaining up to 112Gbps of throughput and 1M+ IOPS</li>
</ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"1U, AMD EPYC",true,Title,Default Title,,,,,,,,BB1202FUNTY14-A,15875.73295,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-Dv3-FrontAngle_720x_1751a25f-43f5-4163-97b6-a0739071f93c.png?v=1548813828,1,"",false,,,,lb,,,active
flachesan1l-un-1u-20-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-U4-Front_92f1d907-0b30-40cb-937d-b615f57cdf31.png?v=1548813828,2,"",,,,,,,,
flachesan1l-un-1u-20-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_FlacheSAN1L-Dv3-Rear_385b3e1a-80a0-442f-974b-c583e6afcc57.png?v=1548813828,3,"",,,,,,,,
flachesan1l-u5-1u-20-bays-7mm-12g-sas-sata-ssd-single-xeon-sp,FlacheSAN1L-U5 1U 20 BAYS 7MM 12G SAS/SATA SSD SINGLE XEON SP,"<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Single Socket Intel® Xeon® SP Skylake up to 768GB DDR4</li>
<li>2U with 20x hot-swappable 2.5”- 7mm SATA SSD or HDD bays</li>
<li>Support 3x PCIe slots (2x Full Height)</li>
<li>Low acoustic noise and induced vibrations for greater reliability</li>
<li>Capable of sustaining up to 112Gbps of throughput and 1M+ IOPS</li>
</ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"1U, XEON SP",true,Title,Default Title,,,,,,,,BB1202FU5SM14-A,15875.73295,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-U4-Front.png?v=1541121040,1,"",false,,,,lb,,,active
flachesan1l-u5-1u-20-bays-7mm-12g-sas-sata-ssd-single-xeon-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-U4-Front-angle.png?v=1541121040,2,"",,,,,,,,
flachesan1l-u5-1u-20-bays-7mm-12g-sas-sata-ssd-single-xeon-sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-U4-RearS.png?v=1541121040,3,"",,,,,,,,
flachesan1l-d5-1u-20-bays,FlacheSAN1L-D5 1U 20 BAYS 7MM 12G SAS/SATA SSD DUAL XEON SP,"<p><strong>Key Features</strong></p>
<ul>
<li>1U with 20x hot swappable 2.5″ – 7mm SATA SSD or HDD bays</li>
<li>Dual Intel XeonSP Skylake with 2x PCIe3 x16 slots + 2x OCP x16</li>
<li>Low acoustic noise and induced vibrations for greater reliability</li>
<li>Capable of sustaining up to 112Gbps of throughput and 1M+ IOPS</li>
</ul>",Premio Inc,,FlacheStreams Products: Intel® Xeon® Scalable Processor,"1U, XEON SP",true,Title,Default Title,,,,,,,,BB1202FD5TY14-A,15875.73295,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-Dv3-FrontAngle.png?v=1541121035,1,"",false,,,,lb,,,active
flachesan1l-d5-1u-20-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1L-U4-Front_6a90af31-83e4-4612-b69e-5e08ac222512.png?v=1541121035,2,"",,,,,,,,
flachesan1l-d5-1u-20-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/NEW_FlacheSAN1L-Dv3-Rear.png?v=1541121035,3,"",,,,,,,,
edrawer4072j-s3-4u-60-bays,"eDrawer4072J-S3 4U 72 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 1100W HRP","<ul>
<li class=""p1"">4U with 72x top-load 12G SAS/SATA hot-swap trayless bays</li>
<li class=""p1"">“Support total 12x SFF8644 ports for up to 384Gbps of SAS bandwidth to Host and Expansion connections”</li>
<li class=""p1"">“Dual 12G SAS expander modules supporting 12G SAS devices and EDFB for 6G SATA devices”</li>
<li class=""p1"">1100W FAN+PSU modules with individual hot-swappable fan modules</li>
</ul>",Premio Inc,,JBODs,"4U, >40 bays, JBOD",true,Title,Default Title,,,,,,,,JB472S33D6MA-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/4U72-Front.png?v=1627064433,1,"",false,,,,lb,,,active
edrawer4072j-s3-4u-60-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/4U72-Rear.png?v=1627064433,2,"",,,,,,,,
edrawer4060s-un-4u-60-bays,"eDrawer4060S-UN 4U 60 Bays 3.5"" HDD 12G SAS Single EPYC","<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports single AMD EPYC (Naples)</li>
<li>Support 60 x 3.5″ Trayless Drive Bays in 4RU</li>
<li>Two 48 ports 12G SAS expanders for maximum throughput</li>
<li>Support full height PCIe expansions without risers</li>
</ul>
<ul></ul>
<ul></ul>",Premio Inc,,ScaleStreams Products: AMD EPYC Processor,"4U, >40 bays, AMD EPYC, scalestreams, server",true,Title,Default Title,,,,,,,,BB46033UNSM18-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/eDrawer4060J-S3-Front-Open_grande_5fe5f775-212d-4cde-ac1f-886333247508.png?v=1566435154,1,"",false,,,,lb,,,active
edrawer4060s-un-4u-60-bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/ScaleStreams_eDrawer4060S-UN.png?v=1566435154,2,"",,,,,,,,
copy-of-edrawer4060j-s3-4u-60-bays,"eDrawer4060S-D5 4U 60 Bay 3.5"" HDD 12G SAS Dual Xeon SP","<p><strong>Key Features</strong></p>
<ul>
<li>Storage server supports Dual Intel® Xeon® E5-2600v3/v4 Skylake</li>
<li>Support 60 x 3.5″ Trayless Drive Bays in 4RU</li>
<li>Two 48 ports 12G SAS expanders for maximum throughput</li>
<li>Support full height PCIe expansions without risers</li>
</ul>
<ul></ul>",Premio Inc,,ScaleStreams Products: Intel® Xeon® Scalable Processor,"4U, >40 bays, scalestreams, server, XEON SP",true,Title,Default Title,,,,,,,,JB460S33D8MA-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/eDrawer4060J-S3-Front-Open_grande_5f7bfd91-71a6-46b8-9bb3-c1fc4edf8665.png?v=1566435262,1,"",false,,,,lb,,,active
