id,title,family,product series,processor,100_System,110_Processor,115_Expander,120_System Chipset,121_LAN Chipset,122_Audio Codec,130_System Memory,150_Graphics,160_Ethernet,161_Network,169_Controller Support,170_Storage,171_Driver Bays,172_Enclosure Management,200_BIOS,210_Watchdog Timer,211_Supported OS,220_Cooling,299_Other Features,300_I/O,301_I/O,302_Front I/O,303_Back I/O,304_Universal I/O Slot,305_Expansion,310_Display Output,321_Others,500_Power,501_Power,502_Power Adapter,510_Power Management,520_Power Mode,530_Power Supply Voltage,540_Power Connector,550_Power Protection,700_Environment,701_Environment,710_Operating Temperature,720_Storage Temperature,730_Relative Humidity,732_IP Level,734_Certification,736_Vibration,737_Shock,738_Warranty,739_HTS Code,740_ECCN,741_Compliance,800_Physical,810_Dimensions (W x H x D),820_Weights,821_Logistic,830_Construction,840_Mounting Options,resource_Data Sheet,resource_BIOS,resource_Firmware,resource_MFG file,resource_User's Manual,resource_AVL,resource_Product Brief,resource_Install Guide
757184790593,FlacheSAN1N20U-UN,server,flachestreams-amd-naples,AMD,System,Supports Single Socket AMD EPYC (Naples) CPU up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 RDIMM/RDIMM/LRDIMM 2666 MHz,,,2x 1GbE Broadcom BCM5720<br> 1x GbE dedicated for IPMI,,,"10x 2.5"" hot-swap U.2 NVMe drive bays <br>2x internal M.2 NVMe for OS drives",,,,,5x 40mm fans with Smart Fan Control,,,,,,,1x PCI-E 3.0 x16 OCP 2.0 Mezzanine<br> 1x PCI-E 3.0 x16 Full Height <br>1x PCI-E 3.0 x16 Low Profile,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x1.75"" (LxWxH) Packaging: 35""x 24.5""x9""(LxWxH)",Gross Weight: 47lbs without Hard Drives Net Weight: 35lbs without Hard Drive,,,,DS-FlacheSAN1N20U-UN,Tyan S8026GM2NRE,,,,AVL_FlacheSAN1N10U-1N20U-UN,PB_FlacheStreams_AMD,QG_FlacheSAN1N20U-UN
765373743169,FlacheSAN1L-UN,server,flachestreams-amd-naples,AMD,System,Supports Single Socket AMD EPYC (Naples) CPU up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 RDIMM/RDIMM/LRDIMM 2666 MHz,,,2x 1GbE Broadcom BCM5720 <br> 1x GbE dedicated for IPMI,,,"20x 2.5"" 7mm hot-swap 6Gbps SATA drive bays; 2x Internal 2.5"" bays for OS drives",,,,,5x 40mm fans with Smart Fan Control,,,,,,,1x PCI-E 3.0 x16 OCP 2.0 Mezzanine<br> 1x PCI-E 3.0 x16 Full Height <br>1x PCI-E 3.0 x16 Low Profile,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x1.75"" (LxWxH) Packaging: 35""x 24.5""x9""(LxWxH)",Gross Weight: 47lbs without Hard Drives Net Weight: 35lbs without Hard Drive,,,,DS-FlacheSAN1L-UN,Tyan S8026GM2NRE,,,,AVL_FlacheSAN1L-UN,PB_FlacheStreams_AMD,QG_FlacheSAN1L-UN
757187870785,FlacheSAN2V-UN,server,flachestreams-amd-naples,AMD,System,Supports UP AMD EPYC (Naples) up to 180W TDP socket SP3,,,,,Supports 16x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666 MT/s,,,,,4x SlimSAS for 16 SATA 6G and 4x 6G/12G SAS HBA/RAID controllers by using available PCIe slots,"48x front hot-swap 2.5"" 7mm 6G SATA drive bays; 2x internal .5"" 7 or 15mm 6G SATA bays",,,,,4x 80mm cooling fans,,,,,,,Supports up to total of 7 PCIe slots; 3 PCIe3 x8; 4 PCIe3 x16,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26""x19""x3.5"" (LxWxH) Packaging: 36""x 24.5""x10.5""(LxWxH)",Gross: 25KG/55LBS; Net: 21.36KG/46LBS,,,,DS-FlacheSAN2V-UN,BIOS Gigabyte MZ31-AR0,Firmware Gigabyte MZ31-AR0,,,AVL_FlacheSAN2V-UN,PB_FlacheStreams_AMD,QG_FlacheSAN2V-UN
3430741672001,FlacheSAN1N36M-UN,server,flachestreams-amd-naples,AMD,System,Supports UP AMD EPYC (Naples) up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 RDIMM/LRDIMM/NVDIMM 2667/2400 MHz,,,"2x GbE ports, 1x GbE dedicated for IPMI",,,"36x NF1 (M.3) NVMe drive bays <br>or 36x M.2
(2260/2280/22110) NVMe with adapter tray<br>
2x internal M.2 NVMe for OS drives",,,,"Microsoft Windows Server 64bit 2012/R2<br>Windows
2016 64bit<br>Linux RHEL 7.4<br>SUSE 11 SP4 x64<br>
SUSE 12 SP2 x64<br> Ubuntu 16.04 x64<br> Ubuntu 17.04 x64",5x 40mm fans with Smart Fan Control,,,2x USB 3.0 ports <br> 1x VGA port(s)<br> 1x COM Port<br> 2x 1GbE ports<br> 1x 1GbE MGMT,"Power On/Off switch & LED <br> Locate switch & LED, NMI switch<br> 2x LAN LED",,,2x PCIe Gen 3 x16 Full Height Half Length <br>1x PCIe Gen3 x16 OCP 2.0,,,,"1+1 850W AC/DC or -48VDC/DC high efficiency
redundant power supplies",,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,System: 27.5”x19”x1.75” (LxWxH)<br>Packaging: 35”x 24.5”x9”(LxWxH),Gross: 50lbs without drives<br>Net: 35lbs without drives,,,,DS-FlacheSAN1N36M-UN,,,,,,PB_FlacheStreams_AMD,
3430724042817,FLACHESAN4N24M-UN,server,flachestreams-amd-naples,AMD,System ,Supports UP AMD EPYC (Naples) up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 RDIMM/LRDIMM/NVDIMM 2667/2400 MHz,,,,,x48 Lanes PCIe,"24x hot-swap M.2 or NF1 NVMe SSD drive bays <br> 2x Internal 2.5"" for OS drive bays",,,,"Windows 2016 64bit<br> Linux RHEL 7.3, 7.4, 7.5 x64 <br>SUSE 11 SP4 x64<br> SUSE 12 SP2 x64<br>Ubuntu 16.04 x64<br>Ubuntu 17.04 x64",(6) 60x25mm fans or (4) 60x38mm + (2) 60x25mm,Dedicated GbE for IPMI 2.0,,,Power On/Off with LED<br> Reset Switch<br> NMI Switch<br>Locate Switch with LED<br> 4xLAN LED<br> Warning LED,,,,,,,1+1 800W or 1600W AC/DC 80Plus Platinumredundant power supplies; Optional -48VDC available,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,System: 16”x7”x13.5” (LxWxH) <br>Packaging: 24”x 12”x18”(LxWxH),Net Weight (with SSD): 38lbs<br> Gross Weight: 55lbs,,,,DS-FlacheSAN4N24M-UN,,,,,,PB_FlacheStreams_AMD,
3670074523713,FlacheSAN2N108M-UN,server,flachestreams-amd-naples,AMD,System,Supports Single Socket AMD EPYC (Naples) CPU up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 <br>RDIMM/RDIMM/LRDIMM 2666/2400 ,,,"2x GbE ports, 1x GbE dedicated for IPMI",,,108x Hot-swappable EDSFF (EL.1) NVMe drive bays<br>2x internal M.2 NVMe for OS drives,,,,Microsoft Windows Server 64bit 2012/R2 <br>Windows 2016 64bit<br> Linux RHEL 7.4<br> SUSE 11 SP4 x64<br> SUSE 12 SP2 x64<br> Ubuntu 16.04 x64<br> Ubuntu 17.04 x64,4x 80x38mm High-Pressure cooling fans,Dedicated GbE for IPMI 2.0,,"2x USB 3.0 ports<br> 1x VGA port(s)<br> 1x COM
Port<br> 2x 1GbE ports<br. 1x 1GbE MGMT","Power On/Off switch <br> LED, Locate switch <br>LED, NMI switch<br> 2x LAN LED",,,(2) PCIe3 x16 FH/FL + (1) PCIe3 x16 OCP 2.0,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,System: 37”x17.16”x3.5” (LxWxH),,,,,DS_FlacheSAN2N108M-UN,,,,,,PB_FlacheStreams_AMD,
755280445505,DSS212S-U5,server,durastreams-intel-xeon-scalable-processor,Intel,System,Each Node: Supports Single Socket Intel® Xeon® P Skylake up to 205W TDP socket LGA3647,,Intel C622 chipset,,,Each Node: Supports up to 6x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors,"12 hot-swap 3.5"" 12G/6G SAS/SATA drive bay; Each node: 2x internal 2.5"" 7mm for OS drive bays",,,,,Each node: 5x 40 mm fans,,,,,,,Each Node: 1x PCI-E 3.0 x8; 2x PCI-E3.0 x16; 1x Broadcom LSI3008 (Optional),,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26.5""x19""x3.5"" (LxWxH) Packaging: 37""x25.2""x13.8""(LxWxH",Net Weight 50lbs w/o Hard Drives; Gross Weight: 68,,,,DuraStreams-DSS212S-U5,X11SPW7_606,SMT_X11AST2500_122,,,DSS212S-U5-AVL,PB_DuraStreams_Intel,QG_DSS212S-U5
757212479553,DSS212S-D5,server,durastreams-intel-xeon-scalable-processor,Intel,System,Each Node: Supports Single Socket Intel® Xeon® P Skylake up to 205W TDP socket LGA3647,,Intel C621 chipset,,,Each Node: Supports up to 16x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors,"12 hot-swap 3.5"" 12G/6G SAS/SATA drive bay Each node: 2x internal 2.5"" 7mm for OS drive bays",,,,,Each node: 5x 40mm fans,,,,,,,Each Node: 2x PCIe Gen3 x 16 slots; 1x PCIe Gen3 x16 OCP Storage Mezz.; 1x PCIe Gen3 x16 OCP NIC,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26.5""x19""x3.5"" (LxWxH) Packaging: 37""x 25.2""x13.8""(LxWxH)",Net Weight: 50lbs w/o Hard Drives; Gross Weight: 68lbs,,,,DuraStreams-DSS212S-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,DSS212S-D5-DSS316S-D5-AVL,PB_DuraStreams_Intel,DSS212S-D5-Quick-Guide-v1
757218410561,DSS224S-D5,server,durastreams-intel-xeon-scalable-processor,Intel,System,Each Node: Supports Single Socket Intel® Xeon® P Skylake up to 205W TDP socket LGA3647,,Intel C621 chipset,,,Each node: Supports 16x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors,"24x 2.5"" 12Gbps/6Gbps SAS dual ported HDD bays Each node has 2x internal 2.5"" OS drive bay",,,,,Each node: 5x 40mm fans,,,,,,,"Each node: 2x PCIe Gen3 x 16 slots; 1x PCIe Gen3 x16 OCP Storage Mezz,; 1x PCIe Gen3 x16 OCP NIC",,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x7"" (DxWxH) Packaging: 38""x 25.2""x18""(LxWxH)",Gross: 51.78KG/114LBS; Net: 33.9KG/75LBS,,,,DuraStreams-DSS224S-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,DSS224S-D5-AVL,PB_DuraStreams_Intel,DSS224S-D5-Quick-Guide-v1
757224505409,DSS316S-D5,server,durastreams-intel-xeon-scalable-processor,Intel,System,Each Node: Supports Single Socket Intel® Xeon® P Skylake up to 205W TDP socket LGA3647,,Intel C621 chipset,,,Each node: Supports 16x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors,"16 hot-swap 3.5"" 12G/6G SAS/SATA drive bay Each node: 2x internal 2.5"" 7mm for OS drive bays",,,,,Each node: 4x 60mm fans,,,,,,,Each node: 2x PCIe Gen3 x 8 slots; 1x PCIe Gen3 x 16 slots; 1x PCIe Gen3 x 16 Storage Mezz; 1x PCIe Gen3 x 16 OCP NIC,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x5.25"" (LxWxH) Packaging: 38""x 25.5""x15""(LxWxH)",Gross: 37.95KG/83.5LBS; Net: 33.6KG/74LBS,,,,DuraStreams-DSS316S-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,DSS212S-D5-DSS316S-D5-AVL,PB_DuraStreams_Intel,DSS316S-D5-Quick-Guide-v1
